Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Amusement,http://www.boxofficemojo.com/movies/?id=amusement.htm,N/A,R,85,null,null,n/a,170255,170255
Amy,http://www.boxofficemojo.com/movies/?id=amy81.htm,03/20/1981,G,N/A,null,null,null,null,null
Amy's Orgasm,http://www.boxofficemojo.com/movies/?id=amysorgasm.htm,08/23/2002,Unrated,85,9750,8,119664,null,null
Anaconda,http://www.boxofficemojo.com/movies/?id=anaconda.htm,04/11/1997,PG-13,89,16620887,2456,65885767,71000000,136885767
Anacondas:The Hunt for the Blood Orchid,http://www.boxofficemojo.com/movies/?id=anacondas.htm,08/27/2004,PG-13,93,12812287,2905,32238923,38753975,70992898
Analyze That,http://www.boxofficemojo.com/movies/?id=analyzethat.htm,12/06/2002,R,100,11034422,2635,32130627,22872508,55003135
Analyze This,http://www.boxofficemojo.com/movies/?id=analyzethis.htm,03/05/1999,R,103,18383507,2537,106885658,70000000,176885658
Anamorph,http://www.boxofficemojo.com/movies/?id=anamorph.htm,04/18/2008,R,103,3120,1,6950,667889,674839
The Anarchist Cookbook,http://www.boxofficemojo.com/movies/?id=anarchistcookbook.htm,07/18/2003,R,101,6251,2,14369,null,null
Anastasia,http://www.boxofficemojo.com/movies/?id=anastasia.htm,11/14/1997,G,94,14104933,2511,58406347,81398001,139804348
Anatomy,http://www.boxofficemojo.com/movies/?id=anatomy.htm,09/08/2000,R,103,5725,8,9660,10492298,10501958
Anatomy 2,http://www.boxofficemojo.com/movies/?id=anatomy2.htm,08/13/2004,R,101,383,1,623,n/a,623
Anatomy of a Murder,http://www.boxofficemojo.com/movies/?id=anatomyofamurder.htm,07/01/1959,Unrated,160,null,null,null,null,null
Anatomy of Hell,http://www.boxofficemojo.com/movies/?id=anatomyofhell.htm,09/24/2004,Unrated,80,4255,3,34506,n/a,34506
Anchor Baby,http://www.boxofficemojo.com/movies/?id=anchorbaby.htm,07/08/2011,Unrated,95,3510,2,15790,160842,176632
Anchorman 2 (R-Rated Extended Cut),http://www.boxofficemojo.com/movies/?id=anchorman2r.htm,02/28/2014,R,143,1358833,1317,127352707,null,null
Anchorman 2:The Legend Continues,http://www.boxofficemojo.com/movies/?id=anchorman2.htm,12/18/2013,PG-13,119,26232425,3507,127352707,46296308,173649015
Anchorman:The Legend of Ron Burgundy,http://www.boxofficemojo.com/movies/?id=anchorman.htm,07/09/2004,PG-13,91,28416365,3104,85288303,5285885,90574188
Anchors Aweigh,http://www.boxofficemojo.com/movies/?id=anchorsaweigh.htm,07/14/1945,Unrated,140,null,null,null,null,null
And Everything is Going Fine,http://www.boxofficemojo.com/movies/?id=everythingisgoingfine.htm,12/10/2010,Unrated,89,7035,2,22080,null,null
And God Created Woman,http://www.boxofficemojo.com/movies/?id=andgodcreatedwoman.htm,03/04/1988,R,100,393647,385,717376,null,null
And God Spoke,http://www.boxofficemojo.com/movies/?id=andgodspoke.htm,09/23/1994,R,82,18886,6,58484,null,null
And Now Ladies and Gentlemen,http://www.boxofficemojo.com/movies/?id=andnowladiesandgentlemen.htm,08/01/2003,PG-13,126,49176,48,736872,n/a,736872
And So It Goes,http://www.boxofficemojo.com/movies/?id=andsoitgoes.htm,07/25/2014,PG-13,94,4642329,1816,15160801,10151586,25312387
And Then Came Love,http://www.boxofficemojo.com/movies/?id=andthencamelove.htm,06/01/2007,Unrated,90,4719,1,13944,null,null
And They're Off,http://www.boxofficemojo.com/movies/?id=andtheyreoff.htm,10/28/2011,PG-13,90,5154,10,5154,null,null
And While We Were Here,http://www.boxofficemojo.com/movies/?id=andwhilewewerehere.htm,09/13/2013,R,84,7750,19,7750,null,null
The Anderson Tapes,http://www.boxofficemojo.com/movies/?id=andersontapes.htm,06/17/1971,GP,95,null,null,null,null,null
Andre,http://www.boxofficemojo.com/movies/?id=andre.htm,08/19/1994,PG,94,4020760,1469,16820893,null,null
Andre Gregory:Before and After Dinner,http://www.boxofficemojo.com/movies/?id=andregregory.htm,04/03/2013,Unrated,108,7980,3,42892,null,null
Andrei Tarkovsky Retrospective,http://www.boxofficemojo.com/movies/?id=andreitarkovskyretrospective.htm,09/13/2002,Unrated,N/A,11537,2,177345,null,null
Angel,http://www.boxofficemojo.com/movies/?id=angel.htm,01/13/1984,R,94,2214824,499,17488564,null,null
Angel and the Badman,http://www.boxofficemojo.com/movies/?id=angelandthebadman.htm,02/15/1947,Unrated,100,null,null,null,null,null
An Angel at My Table,http://www.boxofficemojo.com/movies/?id=angelatmytable.htm,05/17/1991,R,156,null,20,1054638,null,null
Angel Eyes,http://www.boxofficemojo.com/movies/?id=angeleyes.htm,05/18/2001,R,102,9225575,2407,24174218,5541388,29715606
Angel Face,http://www.boxofficemojo.com/movies/?id=angelface.htm,12/11/1952,Unrated,91,null,null,null,null,null
Angel Heart,http://www.boxofficemojo.com/movies/?id=angelheart.htm,03/06/1987,R,113,3688721,819,17185632,null,null
Angel Town,http://www.boxofficemojo.com/movies/?id=angeltown.htm,02/23/1990,R,102,300000,55,855810,null,null
Angel-A,http://www.boxofficemojo.com/movies/?id=angel-a.htm,05/25/2007,R,91,29727,18,202647,9792521,9995168
Angela's Ashes,http://www.boxofficemojo.com/movies/?id=angelasashes.htm,12/25/1999,R,145,3217591,614,13042112,null,null
Angels & Demons,http://www.boxofficemojo.com/movies/?id=angelsanddemons.htm,05/15/2009,PG-13,140,46204168,3527,133375846,352554970,485930816
Angels and Insects,http://www.boxofficemojo.com/movies/?id=angelsandinsects.htm,01/26/1996,R,118,null,null,3414301,null,null
Angels Crest,http://www.boxofficemojo.com/movies/?id=angelscrest.htm,12/30/2011,R,96,407,1,832,null,null
Angels in the Dust,http://www.boxofficemojo.com/movies/?id=angelsinthedust.htm,09/14/2007,Unrated,95,5043,4,11606,null,null
Angels in the Outfield (1951),http://www.boxofficemojo.com/movies/?id=angelsintheoutfield51.htm,10/17/1951,Unrated,99,null,null,null,null,null
Angels in the Outfield (1994),http://www.boxofficemojo.com/movies/?id=angelsintheoutfield.htm,07/15/1994,PG,103,8916463,1921,50236831,null,null
The Angels' Share,http://www.boxofficemojo.com/movies/?id=angelsshare.htm,04/12/2013,Unrated,101,18837,38,346669,6687338,7034007
Anger Management,http://www.boxofficemojo.com/movies/?id=angermanagement.htm,04/11/2003,PG-13,101,42220847,3656,135645823,60100000,195745823
Angie,http://www.boxofficemojo.com/movies/?id=angie.htm,03/04/1994,R,108,2779640,1169,9398308,null,null
Angry Birds,http://www.boxofficemojo.com/movies/?id=angrybirds.htm,05/20/2016,Not Yet Rated,N/A,null,null,null,null,null
Angus,http://www.boxofficemojo.com/movies/?id=angus.htm,09/15/1995,PG-13,91,1915192,1156,4821759,null,null
The Animal,http://www.boxofficemojo.com/movies/?id=animal.htm,06/01/2001,PG-13,83,19610520,2788,57743062,27029680,84772742
Animal Behavior,http://www.boxofficemojo.com/movies/?id=animalbehavior.htm,10/27/1989,PG,85,20361,24,41526,null,null
Animal Crackers,http://www.boxofficemojo.com/movies/?id=animalcrackers.htm,08/28/1930,Unrated,97,null,null,null,null,null
Animal Factory,http://www.boxofficemojo.com/movies/?id=animalfactory.htm,10/20/2000,R,94,5746,3,43805,null,null
Animal House (1979 re-issue),http://www.boxofficemojo.com/movies/?id=animalhouse79.htm,09/21/1979,R,109,201747,40,141600000,null,null
Animal Kingdom,http://www.boxofficemojo.com/movies/?id=animalkingdom.htm,08/13/2010,R,112,61968,61,1044039,5749943,6793982
Animals (2015),http://www.boxofficemojo.com/movies/?id=animals2015.htm,05/15/2015,Not Yet Rated,90,null,null,null,null,null
The Animation Show,http://www.boxofficemojo.com/movies/?id=animationshow.htm,09/05/2003,R,94,18487,10,366344,null,null
The Animation Show,http://www.boxofficemojo.com/movies/?id=animationshow05.htm,02/18/2005,Unrated,85,null,6,246520,null,null
Anita,http://www.boxofficemojo.com/movies/?id=anita.htm,03/21/2014,Unrated,77,44114,12,176979,null,null
Anjaana Anjaani,http://www.boxofficemojo.com/movies/?id=anjaanaanjaani.htm,10/01/2010,Unrated,155,517608,91,854757,761131,1615888
Anna,http://www.boxofficemojo.com/movies/?id=anna.htm,06/06/2014,R,99,2541,15,4288,n/a,4288
Anna (1987),http://www.boxofficemojo.com/movies/?id=anna87.htm,1987,PG-13,101,null,null,1236848,null,null
Anna and the King,http://www.boxofficemojo.com/movies/?id=annaandtheking.htm,12/17/1999,PG-13,148,5223416,2132,39263420,74733517,113996937
Anna Christie,http://www.boxofficemojo.com/movies/?id=annachristie.htm,02/21/1930,Unrated,89,null,null,null,null,null
Anna Karenina,http://www.boxofficemojo.com/movies/?id=annakarenina2012.htm,11/16/2012,R,130,320690,422,12816367,56112783,68929150
Anna Karenina (1935),http://www.boxofficemojo.com/movies/?id=annakarenina35.htm,08/30/1935,Unrated,93,null,null,null,null,null
Anna Karenina (1948),http://www.boxofficemojo.com/movies/?id=annakarenina48.htm,04/27/1948,Unrated,111,null,null,null,null,null
Anna Karenina (1997),http://www.boxofficemojo.com/movies/?id=annakarenina.htm,04/04/1997,PG-13,108,75268,34,858553,null,null
Annabelle,http://www.boxofficemojo.com/movies/?id=newlinehorror.htm,10/03/2014,R,95,37134255,3215,84273813,171000000,255273813
Annapolis,http://www.boxofficemojo.com/movies/?id=annapolis.htm,01/27/2006,PG-13,108,7681171,1607,17127992,369000,17496992
Annapolis Salute,http://www.boxofficemojo.com/movies/?id=annapolissalute.htm,09/10/1937,Unrated,65,null,null,null,null,null
Anne Boleyn,http://www.boxofficemojo.com/movies/?id=anneboleyn.htm,04/17/1921,Unrated,118,null,null,null,null,null
Anne Frank Remembered,http://www.boxofficemojo.com/movies/?id=annefrankremembered.htm,02/23/1996,PG,122,26697,31,1310200,null,null
Anne of Green Gables,http://www.boxofficemojo.com/movies/?id=anneofgreengables.htm,11/23/1934,Unrated,78,null,null,null,null,null
Anne of the Thousand Days,http://www.boxofficemojo.com/movies/?id=anneofthethousanddays.htm,12/18/1969,M/PG,145,null,null,null,null,null
Annie,http://www.boxofficemojo.com/movies/?id=annie.htm,05/21/1982,PG,127,5312062,1102,57059003,null,null
Annie (2014),http://www.boxofficemojo.com/movies/?id=annie2014.htm,12/19/2014,PG,118,15861939,3197,85911262,48700000,134611262
Annie Brocoli dans les fonds marin,http://www.boxofficemojo.com/movies/?id=anniebrocoli.htm,12/19/2003,Unrated,N/A,48174,55,374360,null,null
Annie Hall,http://www.boxofficemojo.com/movies/?id=anniehall.htm,04/20/1977,PG,93,null,null,38251425,null,null
The Anniversary Party,http://www.boxofficemojo.com/movies/?id=anniversaryparty.htm,06/08/2001,R,115,158533,120,4047329,884559,4931888
Anohana The Movie:The Flower We Saw That Day,http://www.boxofficemojo.com/movies/?id=anohana.htm,01/18/2014,Unrated,106,37480,41,109630,null,null
Anonymous,http://www.boxofficemojo.com/movies/?id=anonymous.htm,10/28/2011,PG-13,130,1021768,513,4463292,10931795,15395087
