Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Hotel,http://www.boxofficemojo.com/movies/?id=hotel.htm,07/25/2003,R,119,12840,2,29813,n/a,29813
Hotel Colonial,http://www.boxofficemojo.com/movies/?id=hotelcolonial.htm,09/18/1987,R,104,null,null,9526,null,null
Hotel de Love,http://www.boxofficemojo.com/movies/?id=hoteldelove.htm,02/07/1997,R,96,50947,42,165845,null,null
Hotel for Dogs,http://www.boxofficemojo.com/movies/?id=hotelfordogs.htm,01/16/2009,PG,100,17012212,3271,73034460,43965738,117000198
The Hotel New Hampshire,http://www.boxofficemojo.com/movies/?id=hotelnewhampshire.htm,03/09/1984,R,109,1075800,244,5142858,null,null
Hotel Normandy,http://www.boxofficemojo.com/movies/?id=hotelnormandy.htm,09/27/2013,Unrated,84,2552,1,4640,null,null
Hotel Rwanda,http://www.boxofficemojo.com/movies/?id=hotelrwanda.htm,12/22/2004,PG-13,110,2316416,824,23530892,10351351,33882243
Hotel Transylvania,http://www.boxofficemojo.com/movies/?id=hoteltransylvania.htm,09/28/2012,PG,91,42522194,3375,148313048,210062555,358375603
Hotel Transylvania 2,http://www.boxofficemojo.com/movies/?id=hoteltransylvania2.htm,09/25/2015,Not Yet Rated,N/A,null,null,null,null,null
The Hottest State,http://www.boxofficemojo.com/movies/?id=hotteststate.htm,08/24/2007,R,117,8545,5,31216,106125,137341
The Hottie & the Nottie,http://www.boxofficemojo.com/movies/?id=hottieandthenottie.htm,02/08/2008,PG-13,90,27696,111,27696,1568536,1596232
Hounddog,http://www.boxofficemojo.com/movies/?id=hounddog.htm,09/19/2008,R,93,13744,11,131961,null,null
The Hours,http://www.boxofficemojo.com/movies/?id=hours.htm,12/27/2002,PG-13,114,3363908,1010,41675994,67170078,108846072
House,http://www.boxofficemojo.com/movies/?id=house.htm,02/28/1986,R,93,5923972,1440,19444631,null,null
House (2008),http://www.boxofficemojo.com/movies/?id=house08.htm,11/07/2008,R,88,327445,363,575048,null,null
House (re-release),http://www.boxofficemojo.com/movies/?id=housererelease.htm,01/15/2010,Unrated,N/A,null,7,150284,null,null
