name,url,gender,role,event
'Kim Basinger',http://en.wikipedia.org/wiki/Kim_Basinger,female,support,'4th Screen Actors Guild Awards'
'Geoffrey Rush',http://en.wikipedia.org/wiki/Geoffrey_Rush,male,lead,'3rd Screen Actors Guild Awards'
'Frances McDormand',http://en.wikipedia.org/wiki/Frances_McDormand,female,lead,'3rd Screen Actors Guild Awards'
'Cuba Gooding Jr',http://en.wikipedia.org/wiki/Cuba_Gooding_Jr.,male,support,'3rd Screen Actors Guild Awards'
'Lauren Bacall',http://en.wikipedia.org/wiki/Lauren_Bacall,female,support,'3rd Screen Actors Guild Awards'
'Nicolas Cage',http://en.wikipedia.org/wiki/Nicolas_Cage,male,lead,'2nd Screen Actors Guild Awards'
'Susan Sarandon',http://en.wikipedia.org/wiki/Susan_Sarandon,female,lead,'2nd Screen Actors Guild Awards'
'Ed Harris',http://en.wikipedia.org/wiki/Ed_Harris,male,support,'2nd Screen Actors Guild Awards'
'Kate Winslet',http://en.wikipedia.org/wiki/Kate_Winslet,female,support,'2nd Screen Actors Guild Awards'
'Tom Hanks',http://en.wikipedia.org/wiki/Tom_Hanks,male,lead,'1st Screen Actors Guild Awards'
'Jodie Foster',http://en.wikipedia.org/wiki/Jodie_Foster,female,lead,'1st Screen Actors Guild Awards'
'Martin Landau',http://en.wikipedia.org/wiki/Martin_Landau,male,support,'1st Screen Actors Guild Awards'
'Dianne Wiest',http://en.wikipedia.org/wiki/Dianne_Wiest,female,support,'1st Screen Actors Guild Awards'
