Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Dumbstruck,http://www.boxofficemojo.com/movies/?id=dumbstruck.htm,4/15/2011,PG-13,84,981,2,15379,null,null
Dummy,http://www.boxofficemojo.com/movies/?id=dummy.htm,9/12/2003,R,90,30120,5,71646,null,null
Dune,http://www.boxofficemojo.com/movies/?id=dune.htm,12/14/1984,PG-13,137,6025091,975,30925690,null,null
Dungeons & Dragons,http://www.boxofficemojo.com/movies/?id=dungeonsanddragons.htm,12/8/2000,PG-13,107,7237422,2078,15220685,18586724,33807409
Dunston Checks In,http://www.boxofficemojo.com/movies/?id=dunstonchecksin.htm,1/12/1996,PG,88,2996891,1292,9871065,null,null
Duplex,http://www.boxofficemojo.com/movies/?id=duplex.htm,9/26/2003,PG-13,97,4617128,2191,9692135,9630000,19322135
Duplicity,http://www.boxofficemojo.com/movies/?id=duplicity.htm,3/20/2009,PG-13,125,13965110,2579,40572825,37573827,78146652
Dus Khaniyan,http://www.boxofficemojo.com/movies/?id=duskhaniyan.htm,12/7/2007,Unrated,N/A,176726,55,219071,3307607,3526678
The Dust Factory,http://www.boxofficemojo.com/movies/?id=dustfactory.htm,10/15/2004,PG,99,8000,22,12311,null,null
Dust to Glory,http://www.boxofficemojo.com/movies/?id=dusttoglory.htm,4/1/2005,PG,97,15757,80,640013,null,null
Dutch,http://www.boxofficemojo.com/movies/?id=dutch.htm,7/19/1991,PG-13,107,1867201,1232,4603929,null,null
The Dying Gaul,http://www.boxofficemojo.com/movies/?id=dyinggaul.htm,11/4/2005,R,105,53944,24,342747,2294,345041
Dying Young,http://www.boxofficemojo.com/movies/?id=dyingyoung.htm,6/21/1991,R,114,9725885,1552,33669178,48595497,82264675
Dylan Dog:Dead of Night,http://www.boxofficemojo.com/movies/?id=dylandog.htm,4/29/2011,PG-13,107,754779,875,1186538,3447524,4634062
Dynamite Warrior,http://www.boxofficemojo.com/movies/?id=dynamitewarrior.htm,7/6/2007,Unrated,103,1082,7,52292,431445,483737
Dysfunctional Friends,http://www.boxofficemojo.com/movies/?id=dysfunctionalfriends.htm,2/3/2012,Unrated,111,7409,2,13546,null,null
DysFunKtional Family,http://www.boxofficemojo.com/movies/?id=dysfunktionalfamily.htm,4/4/2003,R,84,1079797,602,2255000,null,null
Dystopia 2013,http://www.boxofficemojo.com/movies/?id=dystopia2013.htm,1/13/2012,Unrated,122,1011,1,1708,null,null
