http://en.wikipedia.org/wiki/Starstruck_(1982_film),Gillian Armstrong:http://en.wikipedia.org/wiki/Gillian_Armstrong,Jo Kennedy:http://en.wikipedia.org/wiki/Jo_Kennedy
http://en.wikipedia.org/wiki/Starter_for_10_(film),Tom Vaughan (director):http://en.wikipedia.org/wiki/Tom_Vaughan_(director),James McAvoy:http://en.wikipedia.org/wiki/James_McAvoy|Alice Eve:http://en.wikipedia.org/wiki/Alice_Eve|Rebecca Hall:http://en.wikipedia.org/wiki/Rebecca_Hall|Dominic Cooper:http://en.wikipedia.org/wiki/Dominic_Cooper
http://en.wikipedia.org/wiki/Star_Theatre_(film),F.S. Armitage:http://en.wikipedia.org/wiki/F.S._Armitage,
http://en.wikipedia.org/wiki/Starting_Over_(1979_film),Alan J. Pakula:http://en.wikipedia.org/wiki/Alan_J._Pakula,Burt Reynolds:http://en.wikipedia.org/wiki/Burt_Reynolds|Jill Clayburgh:http://en.wikipedia.org/wiki/Jill_Clayburgh|Candice Bergen:http://en.wikipedia.org/wiki/Candice_Bergen|Charles Durning:http://en.wikipedia.org/wiki/Charles_Durning|Frances Sternhagen:http://en.wikipedia.org/wiki/Frances_Sternhagen|Austin Pendleton:http://en.wikipedia.org/wiki/Austin_Pendleton|Mary Kay Place:http://en.wikipedia.org/wiki/Mary_Kay_Place
http://en.wikipedia.org/wiki/Star_Trek_(film),J. J. Abrams:http://en.wikipedia.org/wiki/J._J._Abrams,Eric Bana:http://en.wikipedia.org/wiki/Eric_Bana|John Cho:http://en.wikipedia.org/wiki/John_Cho|Ben Cross:http://en.wikipedia.org/wiki/Ben_Cross|Bruce Greenwood:http://en.wikipedia.org/wiki/Bruce_Greenwood|Leonard Nimoy:http://en.wikipedia.org/wiki/Leonard_Nimoy|Simon Pegg:http://en.wikipedia.org/wiki/Simon_Pegg|Chris Pine:http://en.wikipedia.org/wiki/Chris_Pine|Zachary Quinto:http://en.wikipedia.org/wiki/Zachary_Quinto|Winona Ryder:http://en.wikipedia.org/wiki/Winona_Ryder|Zoe Saldana:http://en.wikipedia.org/wiki/Zoe_Saldana|Karl Urban:http://en.wikipedia.org/wiki/Karl_Urban|Anton Yelchin:http://en.wikipedia.org/wiki/Anton_Yelchin
http://en.wikipedia.org/wiki/Star_Trek_Generations,David Carson (director):http://en.wikipedia.org/wiki/David_Carson_(director),
http://en.wikipedia.org/wiki/Star_Trek,null:null,null:null
http://en.wikipedia.org/wiki/Star_Trek_Into_Darkness,J. J. Abrams:http://en.wikipedia.org/wiki/J._J._Abrams,John Cho:http://en.wikipedia.org/wiki/John_Cho|Benedict Cumberbatch:http://en.wikipedia.org/wiki/Benedict_Cumberbatch|Alice Eve:http://en.wikipedia.org/wiki/Alice_Eve|Bruce Greenwood:http://en.wikipedia.org/wiki/Bruce_Greenwood|Simon Pegg:http://en.wikipedia.org/wiki/Simon_Pegg|Chris Pine:http://en.wikipedia.org/wiki/Chris_Pine|Zachary Quinto:http://en.wikipedia.org/wiki/Zachary_Quinto|Zoe Saldana:http://en.wikipedia.org/wiki/Zoe_Saldana|Karl Urban:http://en.wikipedia.org/wiki/Karl_Urban|Peter Weller:http://en.wikipedia.org/wiki/Peter_Weller|Anton Yelchin:http://en.wikipedia.org/wiki/Anton_Yelchin
http://en.wikipedia.org/wiki/Start_the_Revolution_Without_Me,Bud Yorkin:http://en.wikipedia.org/wiki/Bud_Yorkin,Gene Wilder:http://en.wikipedia.org/wiki/Gene_Wilder|Donald Sutherland:http://en.wikipedia.org/wiki/Donald_Sutherland|Hugh Griffith:http://en.wikipedia.org/wiki/Hugh_Griffith|Jack MacGowran:http://en.wikipedia.org/wiki/Jack_MacGowran|Billie Whitelaw:http://en.wikipedia.org/wiki/Billie_Whitelaw|Orson Welles:http://en.wikipedia.org/wiki/Orson_Welles|Victor Spinetti:http://en.wikipedia.org/wiki/Victor_Spinetti|Ewa Aulin:http://en.wikipedia.org/wiki/Ewa_Aulin
http://en.wikipedia.org/wiki/Startup.com,Jehane Noujaim:http://en.wikipedia.org/wiki/Jehane_Noujaim|Chris Hegedus:http://en.wikipedia.org/wiki/Chris_Hegedus,
